[1666694573280] - manhã
[1666694584776] - isso
[1666694588268] - eu
[1666694592133] - eu
[1666694595874] - eu
[1666694599820] - né
[1666694603473] - isso
[1666694608318] - isso
[1666694612969] - Eu
[1666694616560] - eu
[1666694620642] - eu
[1666694623563] - eu
[1666694627844] - eu
[1666694631217] - eu
[1666694635647] - Eu
[1666694638754] - né
[1666694642638] - né
[1666694655495] - né
[1666694658452] - tchau
[1666694661691] - isso
[1666694666430] - eu
[1666694670434] - eu
[1666694674704] - eu
[1666694678033] - eu
[1666694682792] - eu
[1666694686894] - eu
[1666694691660] - eu
[1666694696533] - Eu
[1666694699843] - eu
[1666694704554] - eu
[1666694708266] - eu
[1666694712609] - né
[1666694716503] - eu
[1666694720448] - Eu
[1666694724637] - Eu
[1666694728578] - eu
[1666694732851] - eu
[1666694737879] - eu
[1666694740886] - eu
[1666694744209] - eu
[1666694751541] - vai
[1666694756176] - isso
[1666694761357] - eu
[1666694764233] - Né
[1666694768785] - né
[1666694772565] - né
[1666694776552] - né
[1666694781344] - eu
[1666694784836] - eu
[1666694789263] - eu
[1666694793894] - eu
[1666694797981] - eu
[1666694806424] - eu
[1666694811190] - né
[1666694814228] - eu
[1666694819362] - Eu
[1666694823500] - Um
[1666694827962] - a número um em música.
[1666694832428] - Eu
[1666694835828] - eu
[1666694839209] - eu
[1666694844833] - né
[1666694873379] - eu
[1666694895747] - Né
[1666694899505] - Eu
[1666694953766] - né
[1666694960495] - fui
[1666694963263] - né
[1666694966125] - né
[1666694974988] - né
[1666694981039] - eu
[1666694983371] - né
[1666694985945] - Eu
[1666695007560] - eu
[1666695011510] - eu
[1666695019331] - Eu
[1666695032212] - eu
[1666695040710] - Bons
[1666695044774] - pra você que está aqui na Antena.
[1666695052327] - eu
[1666695055609] - eu
[1666695059317] - Né
[1666695071739] - espera
[1666695078936] - isso
[1666695082225] - né
[1666695086214] - né
[1666695094544] - eu
[1666695111868] - eu
[1666695119164] - gente
[1666695128455] - até
[1666695132119] - né
[1666695134718] - Né
[1666695138292] - eu
[1666695156493] - né
[1666695160417] - você
[1666695166643] - né
[1666695174539] - né
[1666695179072] - eu
[1666695186963] - eu
[1666695195092] - hein
[1666695198422] - Eu
[1666695202618] - eu
[1666695213416] - A
[1666695224991] - eu
[1666695228473] - eu
[1666695231512] - fui
[1666695237792] - né
[1666695242637] - eu
[1666695246357] - né
[1666695253813] - Bom dia um, a número um
[1666695256811] - em música.
[1666695261245] - Né
[1666695265581] - né
[1666695270132] - Né
[1666695273715] - Eu
[1666695277290] - né
[1666695282390] - né
[1666695290730] - né
[1666695294556] - eu
[1666695297720] - eu
[1666695314251] - eu
[1666695317302] - eu
[1666695320883] - eu
[1666695324969] - eu
[1666695329059] - né
[1666695333889] - vai
[1666695338083] - Eu
[1666695354805] - Isso
[1666695358149] - eu
[1666695362301] - Eu
[1666695365960] - eu
[1666695370499] - hoje
[1666695375753] - Isso
[1666695379910] - eu
[1666695383407] - eu
[1666695387287] - eu
[1666695390937] - eu
[1666695394659] - né
[1666695399643] - eu
[1666695403682] - eu
[1666695408514] - Eu
[1666695412082] - eu
[1666695415140] - eu
[1666695419891] - eu
[1666695424259] - eu
[1666695429027] - nesse
[1666695432011] - eu
[1666695436366] - eu
[1666695441238] - eu
[1666695449964] - gente
[1666695453897] - né
[1666695456797] - eu
[1666695459281] - eu
[1666695463014] - eu
[1666695466721] - Eu
[1666695496775] - eu
[1666695499550] - eu
[1666695502513] - eu
[1666695505533] - né
[1666695508939] - Eu
[1666695540535] - Eu
[1666695544086] - eu
[1666695546771] - Eu
[1666695549312] - eu
[1666695562650] - né
[1666695571617] - Eu
[1666695575242] - Eu
[1666695579161] - Eu
[1666695583199] - eu
[1666695587190] - né
[1666695590887] - eu
[1666695595485] - eu
[1666695599392] - eu
[1666695603599] - eu
[1666695608813] - né
[1666695628603] - Eu
[1666695632075] - Eu
[1666695636559] - eu
[1666695640210] - eu
[1666695643534] - velha
[1666695647607] - Velha
[1666695652373] - eu
[1666695656610] - eu
[1666695661003] - né
[1666695665844] - eu
[1666695669337] - eu
[1666695674418] - né
[1666695678101] - eu
[1666695681720] - né
